Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Game_1,Mobile,,Sports,Sony,0.58,0.11,0.3,0.92,1.91
Game_2,Xbox One,2019.0,Sports,Nintendo,5.69,4.45,0.32,0.22,10.68
Game_3,PS4,2014.0,Racing,Nintendo,0.34,0.59,0.45,0.07,1.45
Game_4,Nintendo Switch,2010.0,RPG,EA,1.77,0.05,0.39,0.18,2.39
Game_5,PC,2007.0,RPG,Capcom,2.58,0.04,0.96,0.76,4.34
Game_6,Nintendo Switch,2020.0,Puzzle,Activision,0.06,1.37,0.03,0.06,1.52
Game_7,Nintendo Switch,2006.0,Strategy,Nintendo,1.66,1.08,0.9,0.07,3.71
Game_8,Xbox One,2018.0,Action,Capcom,4.54,1.62,0.93,0.0,7.09
Game_9,PC,2022.0,Puzzle,Capcom,0.2,0.11,0.17,0.0,0.48
Game_10,Nintendo Switch,2010.0,Adventure,Ubisoft,3.4,0.04,0.31,0.53,4.28
Game_11,PS4,2010.0,Shooter,Ubisoft,1.35,0.71,0.29,0.4,2.75
Game_12,PS4,2023.0,Sports,Sony,1.44,0.49,0.12,0.13,2.18
Game_13,PS5,2020.0,Puzzle,Bethesda,1.42,0.62,0.25,0.36,2.65
Game_14,PC,2003.0,Action,Sony,0.53,4.78,0.02,0.15,5.48
Game_15,PC,2007.0,Action,Rockstar,4.1,3.53,0.16,0.92,8.71
Game_16,PS5,2023.0,Puzzle,Activision,4.42,2.85,0.85,1.02,9.14
Game_17,Nintendo Switch,2002.0,Racing,Rockstar,1.47,1.53,0.17,0.15,3.32
Game_18,PC,2021.0,Sports,2K Games,2.29,0.44,0.85,0.58,4.16
Game_19,PS4,2020.0,Racing,Rockstar,1.42,0.53,0.38,0.44,2.77
Game_20,PS4,2001.0,Shooter,EA,0.99,0.8,1.06,0.11,2.96
Game_21,Xbox One,,Action,Rockstar,1.62,1.78,0.43,0.08,3.91
Game_22,PC,2011.0,Action,Sony,1.21,0.07,0.02,0.18,1.48
Game_23,Nintendo Switch,2005.0,Adventure,Nintendo,1.37,0.55,0.56,0.46,2.94
Game_24,PS5,2001.0,Shooter,Nintendo,2.3,0.09,0.02,0.97,3.38
Game_25,PS5,2020.0,Action,Ubisoft,0.98,0.72,0.3,0.43,2.43
Game_26,Nintendo Switch,2000.0,Shooter,Activision,0.06,2.29,1.33,0.58,4.26
Game_27,Mobile,2011.0,Sports,Activision,0.27,1.53,0.09,0.28,2.17
Game_28,Xbox Series X,2021.0,RPG,EA,0.87,0.26,0.25,0.54,1.92
Game_29,Xbox One,2011.0,Action,Sony,1.94,3.73,0.65,0.46,6.78
Game_30,PS5,2016.0,Adventure,Ubisoft,1.35,1.1,1.07,0.14,3.66
Game_31,PC,2009.0,Sports,2K Games,1.58,0.01,0.56,0.24,2.39
Game_32,Xbox One,2015.0,Puzzle,Activision,0.98,0.29,0.15,0.49,1.91
Game_33,PC,2014.0,Shooter,Nintendo,1.43,0.3,0.56,0.01,2.3
Game_34,Mobile,2014.0,Puzzle,Rockstar,0.6,0.07,0.18,0.5,1.35
Game_35,PS4,,Racing,Rockstar,0.95,3.21,0.63,0.06,4.85
Game_36,Xbox One,2011.0,Sports,Ubisoft,2.05,0.65,1.54,0.22,4.46
Game_37,PS5,2022.0,Puzzle,Sony,3.08,2.26,0.64,0.5,6.48
Game_38,Xbox One,2019.0,Strategy,Sony,0.85,0.39,0.99,0.09,2.32
Game_39,Xbox One,2002.0,Strategy,Bethesda,0.07,0.13,0.0,0.08,0.28
Game_40,Xbox One,2004.0,Action,Bandai Namco,0.26,0.64,0.63,0.15,1.68
Game_41,Xbox Series X,2018.0,Shooter,Activision,0.03,0.12,0.88,0.68,1.71
Game_42,Xbox One,2006.0,RPG,Sony,1.59,0.67,0.02,0.0,2.28
Game_43,PC,2020.0,Sports,Nintendo,0.61,2.53,1.03,0.69,4.86
Game_44,PS4,2008.0,Action,Ubisoft,1.17,0.74,0.15,0.05,2.11
Game_45,Mobile,2006.0,Adventure,2K Games,1.02,0.96,0.55,1.38,3.91
Game_46,Nintendo Switch,2017.0,Racing,Bethesda,0.13,0.17,0.81,0.93,2.04
Game_47,Xbox One,2003.0,Shooter,Capcom,0.77,0.04,0.54,0.2,1.55
Game_48,PS5,2013.0,Sports,EA,0.37,0.12,0.05,0.22,0.76
Game_49,Xbox One,2017.0,Strategy,2K Games,0.81,0.91,0.45,0.2,2.37
Game_50,PS5,2008.0,Sports,Capcom,0.34,0.1,0.4,0.3,1.14
Game_51,PC,2020.0,RPG,Rockstar,2.75,0.47,1.15,0.03,4.4
Game_52,PS5,2001.0,Strategy,EA,0.29,0.8,0.26,0.01,1.36
Game_53,Nintendo Switch,2019.0,RPG,Activision,4.86,0.49,0.19,0.02,5.56
Game_54,PS4,2014.0,Adventure,Nintendo,0.81,0.18,0.69,0.18,1.86
Game_55,PS5,2006.0,Racing,EA,2.81,0.32,0.27,0.1,3.5
Game_56,PS5,2011.0,Adventure,Bandai Namco,1.49,2.64,0.52,0.29,4.94
Game_57,PS4,2007.0,Action,Capcom,1.99,1.13,0.52,1.47,5.11
Game_58,Nintendo Switch,2014.0,Action,Activision,2.19,0.69,1.09,0.15,4.12
Game_59,Xbox One,2002.0,Adventure,Bandai Namco,1.05,0.01,0.46,0.26,1.78
Game_60,PS5,2013.0,Racing,Rockstar,1.18,4.88,0.35,0.16,6.57
Game_61,PS4,2016.0,Adventure,Bandai Namco,1.08,1.11,0.07,0.56,2.82
Game_62,PC,2003.0,Racing,Bethesda,1.33,0.38,0.06,0.7,2.47
Game_63,PS4,2017.0,Racing,Bethesda,0.04,2.11,0.08,0.63,2.86
Game_64,PC,2007.0,Puzzle,Ubisoft,0.76,0.3,0.09,1.1,2.25
Game_65,Nintendo Switch,2003.0,Strategy,2K Games,1.4,0.79,0.51,0.01,2.71
